x pos,y pos,z pos,tag,time
392.5750122,67.27390289,6,10,55
406.9679871,132.5469971,6,11,55
321.2850037,139.651001,6,9,55
205.0639954,307.5880127,6,12,55
129.8829956,399.8649902,6,17,55
39.62900162,419.5419922,14.3739996,14,55
298.5029907,307.348999,6,15,55
313.5440063,352.9729919,6,18,55
6.316470146,428.2420044,18.35350037,8,55
230.0850067,248.9869995,27.07629967,2,55
176.4920044,123.8000031,6,28,55
392.2720032,67.8628006,6,10,56
407.1369934,132.6609955,6,11,56
321.572998,139.5039978,6,9,56
204.1589966,304.3980103,6,12,56
129.7799988,399.0440063,6,17,56
40.27970123,419.4519958,14.28009987,14,56
298.6879883,306.0469971,6,15,56
313.9440002,352.4960022,6,18,56
229.9920044,248.871994,27.45859909,2,56
176.1790009,123.2590027,9,28,56
392.302002,67.82749939,6,10,57
407.1560059,132.2429962,6,11,57
321.519989,139.3139954,6,9,57
204.3329926,304.7449951,6,12,57
129.598999,398.6940002,6,17,57
40.33179855,419.0690002,13.80609989,14,57
299.1789856,304.9880066,6,15,57
311.9249878,352.0849915,6,18,57
230.0070038,248.2630005,27.01510048,2,57
176.1790009,123.2590027,9,28,57
390.3410034,68.00730133,6,10,58
406.8970032,131.6069946,6,11,58
320.8739929,138.8450012,6,9,58
204.0240021,304.125,6,12,58
129.2749939,398.0069885,6,17,58
40.25910187,418.5629883,12.88529968,14,58
298.7810059,304.9519958,6,15,58
307.3250122,350.0870056,6,18,58
229.7189941,247.6360016,26.89780045,2,58
176.1790009,123.2590027,9,28,58
388.3710022,68.26490021,6,10,59
406.4609985,130.052002,6,11,59
320.6589966,137.970993,6,9,59
202.6300049,303.1860046,6,12,59
235.3710022,368.4500122,6,13,59
129.5540009,397.7919922,6,17,59
40.12340164,417.9020081,6,14,59
297.928009,304.4089966,6,15,59
306.2940063,348.3309937,6,18,59
229.4490051,247.0789948,25.02169991,2,59
177.0339966,122.1750031,6,28,59
388.1140137,68.3239975,6,10,60
406.4920044,129.673996,6,11,60
320.9049988,137.6439972,6,9,60
201.2200012,298.0010071,6,12,60
235.1060028,368.29599,6,13,60
129.9160004,398.1879883,6,17,60
40.95679855,417.6600037,8.95320034,14,60
297.5539856,305.5050049,6,15,60
307.5350037,347.8280029,6,18,60
-6.958000183,115.7730026,17.97100067,19,60
229.6049957,246.5579987,25.46899986,2,60
177.576004,121.6330032,6,28,60
388.9719849,68.14369965,6,10,61
406.9729919,129.6560059,6,11,61
321.6210022,138.0619965,6,9,61
200.128006,293.0360107,6,12,61
129.9550018,398.8580017,6,17,61
41.2723999,417.8909912,13.15509987,14,61
298.0050049,306.1740112,6,15,61
306.7130127,347.3179932,6,18,61
-1.52136004,112.7269974,20.15970039,19,61
229.8200073,246.5110016,26.37120056,2,61
177.0339966,123.2580032,6,28,61
389.4309998,68.01930237,6,10,62
407.0440063,129.6410065,6,11,62
321.4169922,138.0079956,6,9,62
200.7740021,291.6950073,6,12,62
130.4620056,400.75,6,17,62
235.8220062,368.7770081,8.501729965,13,62
41.34899902,418.1560059,13.47340012,14,62
298.1350098,306.1579895,6,15,62
305.4230042,346.2460022,6,18,62
12.71529961,114.0780029,20.43429947,19,62
230.3029938,247.1320038,27.73250008,2,62
90.94129944,67.68399811,33,20,62
177.0339966,123.2580032,6,28,62
389.5939941,68.09010315,6,10,63
407.3309937,130.3690033,6,11,63
321.5249939,137.9900055,6,9,63
131.4519958,402.1390076,6,17,63
201.5070038,290.9259949,11.28320026,12,63
236.0460052,368.4249878,11.78499985,13,63
41.97050095,418.0429993,14.52859974,14,63
298.5840149,305.3089905,6,15,63
305.0639954,343.3500061,6,18,63
21.71520042,117.9980011,21.96879959,19,63
82.29810333,457.6220093,6,26,63
96.41619873,74.20290375,30,20,63
177.576004,123.8000031,6,28,63
389.8680115,67.30699921,6,10,64
407.0429993,129.3150024,6,11,64
321.9100037,137.5570068,6,9,64
131.8789978,402.8850098,6,17,64
236.0789948,368.2160034,8.918330193,13,64
41.37049866,417.822998,13.18050003,14,64
298.2810059,304.2619934,6,15,64
304.5050049,342.0249939,6,18,64
28.89450073,122.6190033,24.05249977,19,64
230.5529938,247.1569977,27.97410011,2,64
86.82219696,449.4559937,24,26,64
99.64060211,81.63809967,24,20,64
176.4920044,121.0910034,6,28,64
389.2919922,66.84210205,6,10,65
406.696991,128.9940033,6,11,65
321.3559875,136.9259949,6,9,65
236.3549957,367.5409851,6,13,65
131.8890076,402.4020081,6,17,65
41.85580063,417.2529907,11.80459976,14,65
298.20401,302.9360046,6,15,65
304.1549988,339.9419861,6,18,65
109.3280029,93.07659912,18.55599976,20,65
33.08160019,126.2460022,26.80540085,19,65
436.553009,171.4759979,30.59339905,4,65
85.84609985,441.1589966,18,26,65
174.8670044,119.4649963,6,28,65
389.4549866,66.56130219,6,10,66
406.4419861,127.5350037,6,11,66
320.5310059,135.8939972,6,9,66
210.4909973,290.2009888,6,12,66
236.8999939,367.2980042,6,13,66
131.7429962,401.9349976,6,17,66
40.9734993,416.7929993,8.99050045,14,66
297.9710083,302.5920105,6,15,66
303.7929993,338.2730103,6,18,66
111.9440002,102.223999,17.78549957,20,66
230.0659943,245.9609985,27.95999908,2,66
35.44950104,128.5319977,29.24860001,19,66
434.8649902,168.9340057,29.65950012,4,66
85.31420135,436.3720093,18,26,66
173.7830048,118.3820038,6,28,66
389.6659851,66.37989807,6,10,67
406.6390076,126.1220016,6,11,67
319.9649963,135.2359924,6,9,67
214.0529938,292.0740051,6,12,67
131.9759979,401.32901,6,17,67
42.90420151,417.7170105,14.40439987,14,67
298.3529968,302.4020081,6,15,67
303.2489929,337.4289856,6,18,67
116.8399963,111.1520004,19.61170006,20,67
230.1320038,245.6089935,28.64049911,2,67
434.6409912,167.5659943,29.91839981,4,67
87.7664032,432.6690063,15,26,67
173.2420044,116.2149963,6,28,67
388.9649963,67.14810181,6,10,68
407.0469971,127.0439987,6,11,68
320.0589905,135.0209961,6,9,68
216.5709991,294.0580139,6,12,68
132.2579956,401.5369873,6,17,68
298.7520142,302.2260132,6,15,68
302.8190002,336.8599854,6,18,68
120.072998,116.8069992,21.28170013,20,68
45.12680054,421.1830139,18.38549995,14,68
230.6909943,245.875,28.92140007,2,68
436.5840149,170.0169983,30.53890038,4,68
88.18589783,432.6239929,21,26,68
173.2420044,115.6729965,6,28,68
389.2770081,67.53720093,6,10,69
407.4890137,126.8199997,6,11,69
320.5079956,135.5740051,6,9,69
132.2290039,401.2810059,6,17,69
218.8869934,295.1549988,7.843679905,12,69
237.4499969,367.6530151,12.33189964,13,69
298.8330078,302.6149902,6,15,69
300.7399902,337.1489868,6,18,69
121.1100006,121.0419998,23.11650085,20,69
46.09700012,424.1820068,21.42499924,14,69
88.71530151,432.6239929,21,26,69
172.6999969,115.6729965,6,28,69
389.131012,67.87200165,6,10,70
407.5109863,126.6449966,6,11,70
321.2130127,135.9750061,6,9,70
131.9960022,400.7470093,6,17,70
219.6360016,294.8039856,10.18410015,12,70
299.2340088,303.0639954,6,15,70
297.6950073,337.4020081,6,18,70
122.5049973,128.1569977,21.4265995,20,70
46.77510071,424.2330017,22.95000076,14,70
17.03569984,317.6109924,29.29290009,21,70
90.4253006,432.1570129,6,26,70
171.0740051,112.9639969,6,28,70
389.2139893,67.16860199,6,10,71
407.54599,125.4800034,6,11,71
321.743988,135.5319977,6,9,71
131.7039948,399.7160034,6,17,71
220.7850037,295.2709961,9.917559624,12,71
298.3609924,303.5209961,6,15,71
296.8380127,336.8999939,6,18,71
128.0249939,135.6130066,17.17029953,20,71
46.58300018,424.1960144,23.72999954,14,71
17.58810043,318.3959961,27.92690086,21,71
103.6839981,422.5820007,24,26,71
169.9909973,112.4219971,6,28,71
132.7830048,142.6069946,15.33880043,20,72
388.6149902,67.46649933,6,10,72
407.026001,125.7509995,6,11,72
321.2000122,134.8370056,6,9,72
221.8470001,295.0750122,6,12,72
131.852005,400.1789856,6,17,72
297.8659973,303.32901,6,15,72
294.5369873,335.7059937,6,18,72
45.94749832,424.5360107,23.5802002,14,72
16.89850044,318.2879944,26.33320045,21,72
108.4260025,419.42099,24,26,72
168.9069977,109.1709976,6,28,72
138.4279938,148.397995,15.63549995,20,73
388.7539978,67.42710114,6,10,73
406.9389954,125.0559998,6,11,73
321.0180054,134.0410004,6,9,73
222.9790039,294.5780029,6,12,73
131.822998,399.6180115,6,17,73
297.4849854,302.5769958,6,15,73
293.1669922,334.6430054,6,18,73
145.3079987,38.33860016,25.96199989,22,73
16.20569992,320.401001,22.83919907,21,73
48.3368988,424.2420044,24.34140015,14,73
112.6419983,416.7860107,24,26,73
167.2819977,108.086998,6,28,73
143.5249939,154.7220001,16.37730026,20,74
388.901001,67.15599823,6,10,74
407.0090027,124.4720001,6,11,74
321.1140137,134.1880035,6,9,74
227.8690033,294.980011,6,12,74
131.996994,399.8439941,6,17,74
297.9509888,302.4240112,6,15,74
291.6879883,334.256012,6,18,74
147.5379944,39.88600159,24.91160011,22,74
14.53219986,325.4949951,18.63419914,21,74
51.96789932,423.8869934,25.80960083,14,74
116.4319992,426.196991,6,26,74
165.6560059,106.461998,6,28,74
388.9079895,67.77189636,6,10,75
407.5690002,124.9000015,6,11,75
321.4760132,134.8000031,6,9,75
131.8919983,399.427002,6,17,75
298.125,303.0580139,6,15,75
291.6099854,334.3999939,6,18,75
149.9940033,161.2059937,17.74950027,20,75
148.8040009,41.10509872,25.34819984,22,75
13.97060013,329.6719971,18.67149925,21,75
52.65769958,423.8729858,26.57509995,14,75
122.7799988,425.7340088,30,26,75
165.4129944,105.6279984,15,28,75
389.026001,68.15989685,6,10,76
407.7250061,126.0780029,6,11,76
322.1659851,135.1289978,7.828460217,9,76
131.9579926,399.5150146,6,17,76
231.7460022,293.8789978,12.66329956,12,76
298.4389954,302.1080017,8.25440979,15,76
153.3029938,163.7920074,19.16379929,20,76
154.7940063,43.30279922,26.01790047,22,76
15.99720001,333.7380066,20.06520081,21,76
53.15779877,424.0750122,27.81850052,14,76
123.302002,428.8659973,30,26,76
165.6940002,106.7750015,18,28,76
389.1799927,68.1053009,6,10,77
407.697998,125.2259979,6,11,77
321.6589966,134.8509979,6,9,77
131.9140015,399.3410034,6,17,77
232.4140015,292.9200134,12.89960003,12,77
298.5769958,301.1319885,7.799510002,15,77
290.8710022,334.0270081,9.234649658,18,77
155.9259949,166.1790009,18.86980057,20,77
157.2440033,44.68640137,24.80340004,22,77
18.46660042,337.0039978,19.88909912,21,77
52.51910019,424.4970093,27.47270012,14,77
123.302002,428.8659973,30,26,77
164.9149933,106.8529968,21,28,77
389.2130127,67.29669952,6,10,78
407.2909851,125.7509995,6,11,78
321.2709961,134.0500031,6,9,78
131.1170044,397.9970093,6,17,78
232.3699951,292.2489929,10.36240005,12,78
298.2019958,300.7829895,6,15,78
159.7700043,170.6210022,17.16629982,20,78
160.3480072,47.41899872,21.57769966,22,78
19.88069916,338.7390137,18.66449928,21,78
52.39839935,423.9339905,27.14920044,14,78
122.2580032,425.2120056,30,26,78
164.595993,106.6179962,12,28,78
485.071991,336.5010071,8.310420036,25,78
162.3619995,172.0859985,15.51329994,20,79
389.2630005,66.47080231,6,10,79
407.1220093,125.1340027,6,11,79
321.4179993,133.154007,6,9,79
232.2960052,290.6419983,6,12,79
130.473999,396.2229919,6,17,79
297.8580017,299.0539856,6,15,79
286.6629944,330.6210022,6,18,79
164.4380035,48.57630157,17.97139931,22,79
19.65570068,338.3999939,17.89660072,21,79
52.42910004,423.2929993,26.90439987,14,79
120.6920013,421.5580139,30,26,79
164.595993,106.6179962,12,28,79
63.9435997,100.2409973,27,24,79
485.071991,336.5289917,8.104430199,25,79
168.2859955,49.58940125,15.67780018,22,80
168.3890076,177.0570068,15.96360016,20,80
389.368988,66.1792984,6,10,80
406.723999,125.0350037,6,11,80
321.5100098,132.9340057,6,9,80
232.1040039,290.506012,6,12,80
130.1840057,396.230011,6,17,80
297.8160095,298.8240051,6,15,80
284.3429871,328.6359863,6,18,80
21.09770012,339.9519958,17.62220001,21,80
226.7920074,489.5079956,17.53989983,23,80
52.0951004,422.9620056,27.28420067,14,80
121.7360001,421.5580139,30,26,80
164.595993,106.6179962,12,28,80
64.52809906,109.2699966,18,24,80
477.1199951,337.7900085,28.91239929,25,80
389.526001,66.06590271,6,10,81
406.8009949,124.3759995,6,11,81
322.1210022,132.9420013,6,9,81
130.7949982,396.3619995,6,17,81
232.3999939,289.7659912,9.519720078,12,81
298.394989,298.8110046,6,15,81
283.3649902,327.6080017,6,18,81
172.052002,51.09619904,16.73399925,22,81
170.6670074,180.3630066,18.24230003,20,81
24.09259987,343.2309875,18.65379906,21,81
231.4069977,483.8680115,18.50429916,23,81
51.76330185,422.8970032,26.80130005,14,81
120.6920013,424.6900024,30,26,81
164.0310059,104.836998,6,28,81
68.99459839,122.9779968,15,24,81
480.1019897,340.7999878,22.68099976,25,81
383.0329895,66.35980225,6,10,82
407.1159973,125.3479996,6,11,82
322.3800049,133.0370026,6,9,82
130.8739929,395.8909912,6,17,82
232.8249969,289.5230103,13.80259991,12,82
299.2489929,298.5920105,6,15,82
283.1589966,327.5499878,9.348779678,18,82
175.5789948,52.99219894,18.1522007,22,82
74.93309784,140.697998,20.87039948,24,82
172.1660004,183.0670013,20.94960022,20,82
26.09810066,346.2829895,20.39229965,21,82
233.9629974,478.1919861,19.83329964,23,82
50.34960175,423.427002,27.15379906,14,82
122.7799988,427.821991,30,26,82
164.0310059,104.836998,6,28,82
479.1080017,342.0769958,28.08279991,25,82
383.3630066,66.71549988,6,10,83
407.3609924,126.3430023,6,11,83
321.6730042,133.2779999,7.552340031,9,83
131.326004,396.2890015,6,17,83
233.1529999,289.8070068,14.91950035,12,83
299.7619934,298.5169983,8.712869644,15,83
281.9880066,326.993988,11.25479984,18,83
180.0800018,56.84880066,19.78070068,22,83
77.42160034,148.9900055,22.35569954,24,83
170.9019928,181.5690002,21.73570061,20,83
26.32189941,347.9880066,20.74860001,21,83
236.9259949,472.3909912,21.30109978,23,83
49.14810181,424.7160034,27.09589958,14,83
124.3460007,435.1289978,30,26,83
164.0310059,104.836998,6,28,83
489.0480042,349.026001,7.206049919,25,83
383.2120056,66.39459991,6,10,84
407.1610107,125.6880035,6,11,84
322.1159973,133.177002,9.048130035,9,84
130.9170074,395.4379883,6,17,84
233.0200043,289.1629944,15.62419987,12,84
299.2680054,298.5830078,9.176420212,15,84
184.602005,59.29190063,20.84950066,22,84
171.1649933,181.9940033,22.8416996,20,84
71.07119751,156.177002,26.50880051,24,84
28.01729965,351.1520081,21.51860046,21,84
241.7700043,467.0660095,21.15410042,23,84
108.8470001,444.0769958,6,26,84
164.0310059,104.836998,6,28,84
483.0840149,350.0939941,29.97249985,25,84
390.1149902,65.71489716,6,10,85
406.9119873,125.0469971,6,11,85
321.9590149,132.673996,6,9,85
130.2599945,394.9440002,6,17,85
232.9080048,288.6679993,12.95040035,12,85
299.3519897,298.1740112,6,15,85
279.9360046,325.2030029,7.931910038,18,85
187.2519989,60.47890091,20.24220085,22,85
170.9750061,181.397995,21.17539978,20,85
29.84090042,353.5559998,20.33429909,21,85
245.1419983,463.0050049,20.22710037,23,85
65.18859863,161.7400055,29.34950066,24,85
107.2450027,442.6830139,21,26,85
164.0310059,104.836998,6,28,85
486.0660095,353.2919922,26.42429924,25,85
390.105011,65.79599762,6,10,86
406.5180054,124.5210037,6,11,86
321.3770142,131.8359985,6,9,86
129.8760071,394.7099915,6,17,86
232.5820007,287.8460083,10.91880035,12,86
298.1019897,297.802002,6,15,86
279.006012,324.3869934,6,18,86
193.6109924,64.16570282,20.67790031,22,86
170.4459991,181.147995,20.21579933,20,86
31.58550072,357.8139954,19.78879929,21,86
245.1349945,461.5639954,19.53499985,23,86
484.1600037,352.1600037,29.90629959,25,86
101.2710037,444.3510132,18,26,86
164.0310059,104.836998,6,28,86
62.62559891,162.0690002,33,24,86
391.20401,66.17449951,6,10,87
406.2510071,123.9240036,6,11,87
320.8640137,131.1399994,6,9,87
129.9980011,394.5,6,17,87
232.072998,287.3259888,9.476750374,12,87
298.2399902,297.4379883,6,15,87
279.0280151,323.6799927,6,18,87
195.5379944,65.67079926,20.35960007,22,87
169.6069946,180.147995,19.60009956,20,87
32.13759995,359.2359924,19.43600082,21,87
245.3619995,460.2829895,18.94589996,23,87
485.0559998,352.9389954,29.32290077,25,87
98.6115036,451.2650146,18,26,87
164.0310059,104.836998,6,28,87
61.07590103,162.5850067,33,24,87
391.9729919,67.04570007,6,10,88
406.6929932,124.3550034,6,11,88
321.4819946,131.4790039,6,9,88
130.2019958,394.4700012,6,17,88
232.3480072,287.5270081,11.28439999,12,88
298.6459961,296.7080078,6,15,88
278.6080017,323.3909912,6,18,88
197.1869965,66.52799988,21.09930038,22,88
169.302002,180.0720062,20.01919937,20,88
245.798996,460.3200073,18.85650063,23,88
33.68830109,364.052002,19.55610085,21,88
485.8590088,354.2680054,29.37199974,25,88
97.01580048,457.1159973,18,26,88
164.0310059,104.836998,6,28,88
60.54930115,162.5850067,33,24,88
393.1029968,67.8259964,6,10,89
406.7990112,124.7900009,6,11,89
321.9949951,131.923996,6,9,89
130.4080048,394.8819885,6,17,89
232.6349945,287.3909912,13.83839989,12,89
299.256012,296.5710144,6,15,89
200.3659973,68.64070129,21.25020027,22,89
169.4120026,180.621994,22.47710037,20,89
34.3567009,366.7969971,20.56299973,21,89
246.3959961,459.3850098,20.15710068,23,89
486.9899902,356.5119934,29.08320045,25,89
99.67520142,466.1579895,18,26,89
164.0310059,104.836998,6,28,89
56.28179932,164.1419983,21,24,89
393.381012,68.52850342,6,10,90
406.9859924,125.5279999,6,11,90
321.9100037,132.0200043,7.63383007,9,90
130.6360016,394.6270142,6,17,90
232.7449951,287.6199951,16.08419991,12,90
299.29599,296.8510132,8.428019524,15,90
204.4839935,70.4335022,20.92869949,22,90
169.1000061,181.2460022,24.08139992,20,90
34.72040176,369.0069885,21.58410072,21,90
247.026001,459.0939941,21.2003994,23,90
488.0010071,358.7380066,28.74650002,25,90
103.3980026,476.8160095,18,26,90
164.0310059,104.836998,6,28,90
393.4119873,68.41919708,6,10,91
407.1539917,125.0080032,6,11,91
321.9500122,131.8679962,7.725979805,9,91
130.3480072,394.0589905,6,17,91
232.878006,287.2139893,15.79580021,12,91
299.5209961,296.3210144,8.735250473,15,91
277.9830017,323.7080078,12.24520016,18,91
207.1130066,71.31349945,20.84300041,22,91
168.8820038,181.3860016,24.0951004,20,91
30.20140076,375.1220093,20.89119911,21,91
246.4019928,459.9890137,21.41220093,23,91
488.2950134,359.1749878,29.07369995,25,91
102.8669968,485.4230042,18,26,91
164.0310059,104.836998,6,28,91
392.9899902,67.64949799,6,10,92
406.730011,124.3499985,6,11,92
322.2609863,131.1779938,6,9,92
130.3999939,393.3779907,6,17,92
232.4340057,286.0350037,15.07579994,12,92
299.0910034,296.0939941,8.26887989,15,92
209.6109924,71.70469666,19.79829979,22,92
167.8390045,182.022995,24.45409966,20,92
24.25259972,378.9259949,20.9701004,21,92
245.0749969,460.9100037,20.65159988,23,92
488.6289978,359.5360107,27.53440094,25,92
100.2070007,491.8630066,18,26,92
164.0310059,104.836998,6,28,92
278.105011,322.7009888,6,18,92
393.1390076,67.22859955,6,10,93
406.4670105,123.7490005,6,11,93
321.9989929,130.7680054,6,9,93
129.6230011,392.4049988,6,17,93
232.0650024,285.8460083,11.37930012,12,93
298.5469971,295.9020081,6,15,93
213.1959991,72.27639771,18.41799927,22,93
165.6230011,184.1080017,25.13809967,20,93
240.6300049,464.696991,19.33539963,23,93
18.71199989,386.7430115,20.24629974,21,93
489.1749878,359.7529907,26.07719994,25,93
98.07959747,495.0710144,18,26,93
164.0310059,104.836998,6,28,93
271.0150146,325.6099854,6,18,93
393.0939941,67.05269623,6,10,94
406.2229919,123.185997,6,11,94
321.4859924,129.8739929,6,9,94
129.3269958,391.6610107,6,17,94
298.9339905,294.4509888,6,15,94
215.076004,71.7928009,18.49810028,22,94
163.6289978,185.5379944,26.76189995,20,94
13.84790039,392.2839966,18.84840012,21,94
234.8619995,470.9620056,19.08720016,23,94
489.8989868,360.980011,23.98830032,25,94
164.0310059,104.836998,6,28,94
267.0159912,326.3370056,6,18,94
393.8930054,67.92279816,6,10,95
406.4410095,122.8519974,6,11,95
321.2349854,129.7640076,6,9,95
129.4620056,391.3080139,6,17,95
232.3329926,285.006012,12.72389984,12,95
299.3169861,294.2049866,6,15,95
215.3000031,71.81620026,19.40999985,22,95
163.3159943,187.3099976,27.82530022,20,95
10.47539997,395.6419983,20.00270081,21,95
232.8999939,477.6539917,19.68510056,23,95
165.1139984,103.2109985,6,28,95
265.743988,327.0639954,6,18,95
393.875,67.86180115,6,10,96
406.7969971,123.0250015,6,11,96
321.4580078,130.0350037,6,9,96
129.5279999,390.5599976,6,17,96
232.496994,285.0280151,15.23490047,12,96
299.9060059,294.4309998,6,15,96
216.9830017,70.66940308,21.9470005,22,96
6.789949894,399.7709961,20.6616993,21,96
229.3950043,485.3139954,21.92869949,23,96
163.0090027,188.2610016,28.77389908,20,96
165.1139984,103.2109985,6,28,96
265.3900146,327.0539856,6,18,96
393.6879883,67.92690277,6,10,97
406.7980042,123.0550003,6,11,97
322.3269958,130.6230011,9.058679581,9,97
129.3439941,390.4360046,6,17,97
232.5809937,285.5069885,16.03969955,12,97
299.4230042,294.8139954,9.882699966,15,97
217.3529968,71.50579834,23.6364994,22,97
-1.261759996,403.8460083,20.4552002,21,97
225.848999,490.8099976,21.59589958,23,97
165.1139984,103.2109985,6,28,97
263.9509888,327.7749939,9,18,97
393.8540039,67.84719849,6,10,98
406.9020081,122.927002,6,11,98
322.7619934,130.397995,9.963669777,9,98
129.4550018,390.0010071,6,17,98
299.8330078,294.5710144,9.173629761,15,98
218.3269958,72.07649994,24.52490044,22,98
232.552002,285.1040039,16.84009933,12,98
-6.958000183,406.644989,20.79290009,21,98
165.1139984,103.2109985,6,28,98
263.0660095,327.2330017,12,18,98
393.6279907,68.0007019,6,10,99
406.6919861,121.7979965,6,11,99
321.8250122,129.2599945,6,9,99
129.6670074,390.20401,6,17,99
232.1380005,284.1480103,15.61069965,12,99
298.9379883,294.5559998,7.821000099,15,99
220.6199951,72.47570038,24.66180038,22,99
165.1139984,103.2109985,6,28,99
261.1180115,325.4649963,12,18,99
392.946991,67.32170105,6,10,100
406.1640015,120.4690018,6,11,100
321.5130005,128.4819946,6,9,100
129.2100067,389.7279968,6,17,100
231.8529968,283.1289978,14.13230038,12,100
298.4549866,293.5079956,6,15,100
223.8739929,74.09290314,23.41729927,22,100
165.1139984,103.2109985,6,28,100
259.1170044,324.4989929,6,18,100