x pos,y pos,z pos,time
241.4274918,187.782513,23.44154839,3
241.4274918,187.782513,23.44154839,4
241.4274918,187.782513,23.44154839,5
241.4274918,187.782513,23.44154839,6
241.4274918,187.782513,23.44154839,7
241.4274918,187.782513,23.44154839,8
241.4274918,187.782513,23.44154839,9
241.4274918,187.782513,23.44154839,10
241.4274918,187.782513,23.44154839,11
241.4274918,187.782513,23.44154839,12
241.4274918,187.782513,23.44154839,13
241.4274918,187.782513,23.44154839,14
241.4274918,187.782513,23.44154839,15
241.4274918,187.782513,23.44154839,16
241.4274918,187.782513,23.44154839,17
241.4274918,187.782513,23.44154839,18
241.4274918,187.782513,23.44154839,19
241.4274918,187.782513,23.44154839,20
241.4274918,187.782513,23.44154839,21
241.4274918,187.782513,23.44154839,22
241.4274918,187.782513,23.44154839,23
241.4274918,187.782513,23.44154839,24
241.4274918,187.782513,23.44154839,25
241.4274918,187.782513,23.44154839,26
241.4274918,187.782513,23.44154839,27
241.4274918,187.782513,23.44154839,28
241.4274918,187.782513,23.44154839,29
241.4274918,187.782513,23.44154839,30
241.4274918,187.782513,23.44154839,31
241.4274918,187.782513,23.44154839,32
241.4274918,187.782513,23.44154839,33
241.4274918,187.782513,23.44154839,34
241.4274918,187.782513,23.44154839,35
241.4274918,187.782513,23.44154839,36
241.4274918,187.782513,23.44154839,37
241.4274918,187.782513,23.44154839,38
241.4274918,187.782513,23.44154839,39
241.4274918,187.782513,23.44154839,40
241.4274918,187.782513,23.44154839,41
241.4274918,187.782513,23.44154839,42
241.4274918,187.782513,23.44154839,43
241.4274918,187.782513,23.44154839,44
241.4274918,187.782513,23.44154839,45
241.4274918,187.782513,23.44154839,46
241.4274918,187.782513,23.44154839,47
241.4274918,187.782513,23.44154839,48
241.4274918,187.782513,23.44154839,49
241.4274918,187.782513,23.44154839,50
241.4274918,187.782513,23.44154839,51
241.4274918,187.782513,23.44154839,52
241.4274918,187.782513,23.44154839,53
241.4274918,187.782513,23.44154839,54
241.4274918,187.782513,23.44154839,55
241.4274918,187.782513,23.44154839,56
241.4274918,187.782513,23.44154839,57
241.4274918,187.782513,23.44154839,58
241.4274918,187.782513,23.44154839,59
241.4274918,187.782513,23.44154839,60
241.4274918,187.782513,23.44154839,61
241.4274918,187.782513,23.44154839,62
241.4274918,187.782513,23.44154839,63
241.4274918,187.782513,23.44154839,64
241.4274918,187.782513,23.44154839,65
241.4274918,187.782513,23.44154839,66
241.4274918,187.782513,23.44154839,67
241.4274918,187.782513,23.44154839,68
241.4274918,187.782513,23.44154839,69
241.4274918,187.782513,23.44154839,70
241.4274918,187.782513,23.44154839,71
241.4274918,187.782513,23.44154839,72
241.4274918,187.782513,23.44154839,73
241.4274918,187.782513,23.44154839,74
241.4274918,187.782513,23.44154839,75
241.4274918,187.782513,23.44154839,76
241.4274918,187.782513,23.44154839,77
241.4274918,187.782513,23.44154839,78
241.4274918,187.782513,23.44154839,79
241.4274918,187.782513,23.44154839,80
241.4274918,187.782513,23.44154839,81
241.4274918,187.782513,23.44154839,82
241.4274918,187.782513,23.44154839,83
241.4274918,187.782513,23.44154839,84
241.4274918,187.782513,23.44154839,86
241.4274918,187.782513,23.44154839,87
241.4274918,187.782513,23.44154839,88
241.4274918,187.782513,23.44154839,89
241.4274918,187.782513,23.44154839,90
241.4274918,187.782513,23.44154839,91
241.4274918,187.782513,23.44154839,92
241.4274918,187.782513,23.44154839,93
241.4274918,187.782513,23.44154839,94
241.4274918,187.782513,23.44154839,95
241.4274918,187.782513,23.44154839,96
241.4274918,187.782513,23.44154839,97
241.4274918,187.782513,23.44154839,98
241.4274918,187.782513,23.44154839,99